Temperature(K),L1
1.1228489887197700E+01,4.02E-26
1.2218309988869200E+01,4.01E-26
1.3304083469120600E+01,4.01E-26
1.4495096057793200E+01,4.01E-26
1.5801526108662200E+01,4.01E-26
1.7234528545769700E+01,4.01E-26
1.8806329471460800E+01,4.00E-26
2.0530339851196400E+01,3.9965480119334900E-26
2.2421251935643900E+01,3.9890985605823200E-26
2.4495180458932700E+01,3.9795259391755100E-26
2.6769814706786200E+01,3.9675175934234700E-26
2.9264651334761200E+01,3.9525833473817400E-26
3.2000972307131600E+01,3.9341958769717800E-26
3.5002133556474200E+01,3.9121200334601200E-26
3.8293789305027100E+01,3.8859755430298500E-26
4.1904091630542000E+01,3.8549815724923100E-26
4.5863980611061500E+01,3.8184830842194100E-26
5.0207285971700300E+01,3.7757389693149500E-26
5.4971176245274700E+01,3.7271922545569300E-26
6.0196287829164300E+01,3.6701647410575500E-26
6.5927040007224400E+01,3.6028086344751200E-26
7.2212146656451000E+01,3.5229822232864700E-26
7.9105062702549800E+01,3.4283383059465100E-26
8.6664296908912700E+01,3.3157372588436200E-26
9.4953894351968700E+01,3.1806799884784400E-26
1.0404402112433600E+02,3.0192373292041500E-26
1.1401193630322400E+02,2.8271159353734000E-26
1.2494252652407300E+02,2.5999866429630900E-26
1.3692892416730800E+02,2.3354747372010000E-26
1.5007348079639100E+02,2.0294028154804300E-26
1.6448861769273300E+02,1.6782458107204900E-26
1.8029841693561500E+02,1.2790912071242100E-26
1.9763949822524300E+02,8.3209104468579400E-27
2.1666008287199500E+02,3.3798117522855300E-27
2.3752364977265600E+02,2.0904386761342800E-27
2.6041028903185100E+02,8.0762759458076900E-27
2.8551996210910600E+02,1.4564471364730900E-26
3.1306722465524300E+02,2.1606984935676300E-26
3.4328676598760700E+02,2.9250630060958700E-26
3.7643725060240800E+02,3.7637697768712300E-26
4.1168885622019400E+02,4.6564358875645500E-26
4.5037990776578400E+02,5.6449504210129300E-26
4.9198533062507500E+02,6.7080988899738900E-26
5.3639230316358100E+02,7.8518681663946500E-26
5.8343623217854700E+02,9.0867213607841400E-26
