Temperature(K),Lambda[erg*cm**3/s]
8907354.63861044000000000,3.5995025584703600E-20
9771241.53534650000000000,3.5412440458793600E-20
10718913.19205120000000000,3.4802388856708500E-20
11758495.54052150000000000,3.4168823393977600E-20
12898902.61253300000000000,3.3516015822724500E-20
14149912.97434570000000000,3.2847048809971400E-20
15522253.57427040000000000,3.2163906636456000E-20
17027691.72225900000000000,3.1470122727861600E-20
18679135.99020780000000000,3.0768424798736300E-20
20490746.89815840000000000,3.0060848843862100E-20
22478058.33548720000000000,2.9349390358368600E-20
24658110.75822600000000000,2.8635531702798300E-20
27049597.30463130000000000,2.7921176402545700E-20
29673024.08188870000000000,2.7207648268375300E-20
32550885.99835050000000000,2.6496126713522700E-20
35707859.64900460000000000,2.5787803608895000E-20
39171014.90809250000000000,2.5083589378439300E-20
42970047.04320840000000000,2.4384471277051000E-20
47137531.34116720000000000,2.3691677914747000E-20
51709202.42896750000000000,2.3005736559214600E-20
56724260.68491970000000000,2.2327298122433700E-20
62225708.36730230000000000,2.1657524197554200E-20
68260718.34272390000000000,2.0996923070245100E-20
74881038.57590020000000000,2.0346084038653200E-20
82143435.84919420000000000,1.9706139571117700E-20
90110182.51665010000000000,1.9077507914341800E-20
98849590.46625580000000000,1.8460671071927600E-20
108436596.86896000000000000,1.7856682567278900E-20
118953406.73703200000000000,1.7266008365525300E-20
130490197.80144000000000000,1.6689005621111400E-20
143145893.75234800000000000,1.6126651146464600E-20
157029012.47293700000000000,1.5579359040277600E-20
172258596.53987800000000000,1.5047248940052300E-20
188965233.96912100000000000,1.4531088550976400E-20
207292177.95953700000000000,1.4031207763340700E-20
227396575.23579300000000000,1.3547392140314000E-20
249450813.52303100000000000,1.3080100009058800E-20
273643999.70746600000000000,1.2629489195584200E-20
300183581.35755900000000000,1.2194973146191700E-20
329297125.50971400000000000,1.1776561694701200E-20
361234269.97094300000000000,1.1374094188245700E-20
396268863.87014700000000000,1.0986542166934300E-20
434701315.81250100000000000,1.0613395836096200E-20
476861169.77144700000000000,1.0254060824546300E-20
523109930.80562500000000000,9.9070168363764300E-21
573844164.83024000000000000,9.5711104358888300E-21
629498899.02218800000000000,9.2452036847519300E-21
690551352.01623100000000000,8.9272135504112400E-21
757525025.87719200000000000,8.6153706248751800E-21
830994194.93534200000000000,8.3077491937159900E-21
911588829.97508300000000000,8.0018702545765400E-21
1000000000.00000000000000000,7.6953891340342800E-21
