Temperature(K),L1
1.1228671849703700E+01,6.33E-26
8.6665693981304200E+01,5.23E-26
2.1668917200031800E+02,6.99E-27
5.9623341780246600E+02,1.12E-25
1.9130678829831000E+03,1.06E-24
3.0425768045589600E+03,3.49E-24
1.0115151627557600E+04,2.95E-23
3.4100256695314100E+04,2.60E-21
7.3213676491913100E+04,1.23E-21
4.3477112766686600E+05,1.74E-21
1.2686333079537300E+06,4.39E-22
3.0116372403646200E+06,1.59E-22
5.8292387057473900E+06,1.47E-22
3.0000908340398400E+07,3.80E-22
9.1344183973556400E+07,1.18E-21
1.5888204038151200E+08,2.13E-21
5.3103401695277100E+08,9.78E-21
