Temperature(K),L1
1.2586999307966800E+01,6.58E-29
1.3796525354960000E+01,8.73E-29
1.5121813664158900E+01,1.17E-28
1.6574103342204700E+01,1.58E-28
1.8164573303841700E+01,2.14E-28
1.9907548798165300E+01,2.91E-28
2.1816308999116900E+01,3.94E-28
2.3906501236527400E+01,5.2860048364913600E-28
2.6195886649816900E+01,7.0043225464615000E-28
2.8704390172976000E+01,9.1506103148366500E-28
3.1450756236007900E+01,1.1793364612975200E-27
3.4458236667342500E+01,1.4962567890567400E-27
3.7752361555867900E+01,1.8757421298412000E-27
4.1361230745124000E+01,2.3258639427435600E-27
4.5311347846659700E+01,2.8552064309728300E-27
4.9636806642846200E+01,3.4707766831393300E-27
5.4375502510155200E+01,4.1733991172515800E-27
5.9565163298307700E+01,4.9944634308477700E-27
6.5244590042479200E+01,5.9589832490368200E-27
7.1461594131186300E+01,7.0970315602692300E-27
7.8266821181574700E+01,8.4380327094422800E-27
8.5715223353316300E+01,1.0025007510039100E-26
9.3866513078700800E+01,1.1913794003658200E-26
1.0278669495022100E+02,1.4158548894579000E-26
1.1255409006252200E+02,1.6813835583174900E-26
1.2323797853352200E+02,1.9916334800383800E-26
1.3492626647362600E+02,2.3507295420594200E-26
1.4771631512274700E+02,2.7625561499606700E-26
1.6171207788809300E+02,3.2299828033698300E-26
1.7703060229162900E+02,3.7529856734535300E-26
1.9380152820113300E+02,4.3241705885258300E-26
2.1217466269721200E+02,4.9488693929115100E-26
2.3116462774151900E+02,5.5879986900311700E-26
2.5307820140321100E+02,6.3085718186691600E-26
2.7708376082187900E+02,7.0428834223434100E-26
3.0337707582441500E+02,7.8065613145418200E-26
3.3216926823123500E+02,8.5990289504960900E-26
3.6369320556279200E+02,9.4153616433757300E-26
3.9821186581252200E+02,1.0250952981138800E-25
4.3600966549500300E+02,1.1079478874788500E-25
4.7737778515674100E+02,1.1918701731950700E-25
5.2263941636155800E+02,1.2758283408577500E-25
5.7221231929731800E+02,1.3594186997602700E-25
6.2647879383004900E+02,1.4428248386565400E-25
6.8587326267655700E+02,1.5254967345991600E-25
7.5086497740198100E+02,1.6079341227521400E-25
8.2198024434176600E+02,1.6903687454265300E-25
8.9975772057911000E+02,1.7732393449220300E-25
9.8475089222207800E+02,1.8563650971620700E-25
1.0777358378105600E+03,1.9338138253812300E-25
1.1795020163544900E+03,2.0107086596742200E-25
1.2908090098411300E+03,2.0886731015463900E-25
1.4124738106182200E+03,2.1680791455920000E-25
1.5454825103405000E+03,2.2511528216800400E-25
1.6907931858256900E+03,2.3395500853991300E-25
1.8494375082193800E+03,2.4342909971172000E-25
2.0230232915035300E+03,2.5360744559578100E-25
2.2127269273167700E+03,2.6434725833142700E-25
2.4198053968648300E+03,2.7667077430743500E-25
2.6458860615300700E+03,2.9062622368536900E-25
2.8931290615069500E+03,3.0662685829169000E-25
3.1631782022598800E+03,3.2521951070836100E-25
3.4576892668795400E+03,3.4776519274376900E-25
3.7792073417826600E+03,3.7419132655970600E-25
4.1306853241666800E+03,4.0525155842093000E-25
4.4937743064991500E+03,4.3965670008099200E-25
4.9111001270643400E+03,4.8358213931836800E-25
