Temperature(K),Lambda[erg*cm**3/s]
4296331.33191404000000000,1.6713059128988000E-20
4739611.81622655000000000,1.7201657074587500E-20
5189022.54174636000000000,1.6629920219976500E-20
5631035.91187989000000000,1.5014314167571300E-20
6362966.84591487000000000,1.8421428074737300E-20
7019349.46281811000000000,1.8666740156456400E-20
7723898.59585857000000000,1.8624992918736000E-20
8265307.33723256000000000,1.5248977737040400E-20
9352162.85870825000000000,1.8397698907551400E-20
10310996.56847950000000000,1.8329328141073500E-20
11435469.25658030000000000,1.8260210872086700E-20
12648867.02883110000000000,1.7709769012778500E-20
13903914.27066790000000000,1.7194960552448100E-20
15201772.20196230000000000,1.7022036500544000E-20
16509452.74590990000000000,1.6396922210081800E-20
18431139.01645470000000000,1.5624095431144000E-20
20251491.56548040000000000,1.5025485662931100E-20
22245607.65462700000000000,1.4469132695282400E-20
24435573.44011470000000000,1.3922768921983400E-20
26841328.51036820000000000,1.3385525396972900E-20
29484747.55408940000000000,1.2857853100235100E-20
32389837.64913820000000000,1.2341034482973000E-20
35583860.58436030000000000,1.1834514930081700E-20
39097069.11723370000000000,1.1339001662399400E-20
42962305.58212980000000000,1.0858059572564900E-20
47223833.85848020000000000,1.0383550479027900E-20
51877835.52425230000000000,9.9778114640409700E-21
56170442.79035060000000000,1.1527703975443900E-20
62555091.47793580000000000,9.2895770393522000E-21
68775636.11325510000000000,8.9199014037036000E-21
75593240.01101300000000000,8.6025897081831200E-21
83069635.14131320000000000,8.3286898120373500E-21
91264608.80267550000000000,8.0968202854483800E-21
100246802.02965500000000000,7.9052958918259800E-21
110100786.39148600000000000,7.7518350017957800E-21
120922671.21198400000000000,7.6364931782879800E-21
132820265.70122000000000000,7.5632343613356500E-21
145804752.38056200000000000,7.5515658586813500E-21
159764971.76293300000000000,7.6575500987270500E-21
174728217.47016900000000000,7.8895509303541800E-21
191193108.10511200000000000,8.1689250606929900E-21
208926255.79288700000000000,9.1334822447513500E-21
229310386.32223900000000000,9.1228842559368400E-21
251701895.73961500000000000,9.3109113381974900E-21
278585856.92331200000000000,8.7281568241630900E-21
308487477.28887900000000000,8.9149087505757800E-21
339304710.55825400000000000,9.5352021127478700E-21
369613829.25801100000000000,1.0537888929817600E-20
406874330.22311700000000000,1.0733417882712600E-20
452139937.90000900000000000,1.1514456982445900E-20
496648614.44479600000000000,1.2384502436616400E-20
544755935.04528600000000000,1.3672415011560100E-20
622555085.87628100000000000,1.6165957665813000E-20
654062443.77344000000000000,1.6712808123341400E-20
