Temperature(K),L1
1.2586999307966800E+01,6.58E-29
1.0278669495022100E+02,1.42E-26
2.5307820140321100E+02,6.31E-26
4.7737778515674100E+02,1.19E-25
1.0777358378105600E+03,1.93E-25
3.4576892668795400E+03,3.48E-25
1.0771819289088800E+04,2.83E-24
2.9135479904006300E+04,7.17E-23
7.4869311401187800E+04,3.01E-22
8.1585822949429300E+04,3.36E-22
2.8403768506792600E+05,3.55E-22
9.6559996673026100E+05,1.10E-22
3.2231782062747500E+06,2.99E-23
8.9238457579981600E+06,2.21E-23
3.5775432416522200E+07,1.25E-23
1.0864217767675600E+08,1.84E-23
6.3069346526689500E+08,4.83E-23
